Date,Open,High,Low,Close,Adj Close,Volume
2017-04-17,785.900024,789.700012,766.599976,774.049988,774.049988,2786771
2017-04-18,774.900024,774.900024,725.099976,730.150024,730.150024,4750180
2017-04-19,735.000000,752.000000,722.000000,732.799988,732.799988,2052184
2017-04-20,740.000000,765.000000,732.400024,756.299988,756.299988,3218061
2017-04-21,760.000000,765.000000,739.000000,743.200012,743.200012,1237439
2017-04-24,748.000000,748.000000,724.150024,726.299988,726.299988,1249610
2017-04-25,731.000000,739.900024,721.150024,734.799988,734.799988,1519949
2017-04-26,736.450012,753.950012,731.000000,747.900024,747.900024,2080565
2017-04-27,749.000000,749.700012,736.099976,740.099976,740.099976,614735
2017-04-28,743.849976,747.000000,735.000000,736.500000,736.500000,516172
2017-05-02,736.500000,762.900024,736.500000,752.299988,752.299988,1808851
2017-05-03,753.000000,762.000000,746.799988,756.849976,756.849976,1083002
2017-05-04,762.200012,793.000000,762.200012,773.250000,773.250000,2607954
2017-05-05,778.000000,814.400024,766.099976,808.900024,808.900024,4332891
2017-05-08,823.650024,824.500000,770.200012,780.150024,780.150024,3972924
2017-05-09,782.900024,793.000000,775.599976,780.049988,780.049988,1199297
2017-05-10,781.900024,795.000000,780.000000,790.849976,790.849976,1251054
2017-05-11,789.700012,790.500000,756.000000,761.799988,761.799988,1038372
2017-05-12,763.900024,768.000000,736.700012,751.799988,751.799988,1137225
2017-05-15,755.500000,761.450012,744.000000,752.150024,752.150024,617269
2017-05-16,752.099976,757.900024,741.000000,750.400024,750.400024,600525
2017-05-17,751.700012,756.900024,742.900024,744.900024,744.900024,458274
2017-05-18,739.950012,748.000000,724.500000,727.450012,727.450012,698857
2017-05-19,730.000000,738.650024,713.650024,722.900024,722.900024,686573
2017-05-22,729.400024,734.500000,720.099976,721.549988,721.549988,361363
2017-05-23,724.950012,725.000000,691.549988,708.400024,708.400024,1362902
2017-05-24,710.400024,722.900024,701.000000,714.200012,714.200012,748251
2017-05-25,720.000000,720.000000,705.500000,712.400024,712.400024,508214
2017-05-26,714.000000,732.000000,709.450012,714.900024,714.900024,790476
2017-05-29,715.000000,719.750000,710.000000,714.799988,714.799988,307830
2017-05-30,715.000000,742.849976,710.000000,727.849976,727.849976,912185
2017-05-31,731.799988,750.799988,726.400024,745.150024,745.150024,883930
2017-06-01,749.900024,782.000000,745.000000,776.849976,776.849976,1557053
2017-06-02,783.849976,794.599976,776.849976,779.650024,779.650024,738963
2017-06-05,782.700012,811.000000,775.299988,789.750000,789.750000,1662267
2017-06-06,792.799988,800.500000,772.549988,775.349976,775.349976,761302
2017-06-07,777.000000,784.500000,771.250000,774.299988,774.299988,335268
2017-06-08,776.950012,799.799988,768.049988,790.250000,790.250000,1170440
2017-06-09,789.950012,811.000000,783.150024,802.349976,802.349976,1485266
2017-06-12,804.000000,823.000000,797.000000,804.099976,804.099976,1211793
2017-06-13,807.700012,815.000000,795.099976,798.650024,798.650024,679152
2017-06-14,802.000000,807.000000,792.000000,798.549988,798.549988,406225
2017-06-15,800.000000,807.000000,793.000000,797.950012,797.950012,376579
2017-06-16,802.400024,812.000000,796.950012,800.099976,800.099976,579782
2017-06-19,804.799988,806.250000,791.000000,796.400024,796.400024,302416
2017-06-20,796.000000,836.700012,796.000000,822.049988,822.049988,1759720
2017-06-21,825.799988,838.799988,813.299988,817.799988,817.799988,1466750
2017-06-22,819.950012,824.000000,800.000000,803.900024,803.900024,674073
2017-06-23,805.799988,809.250000,789.799988,801.599976,801.599976,799811
2017-06-27,801.599976,807.000000,794.700012,804.599976,804.599976,472470
2017-06-28,802.400024,822.900024,797.000000,818.049988,818.049988,842867
2017-06-29,825.000000,826.450012,813.000000,815.500000,815.500000,443572
2017-06-30,810.900024,820.000000,805.000000,815.099976,815.099976,365653
2017-07-03,811.599976,847.900024,808.000000,840.049988,840.049988,1577531
2017-07-04,843.000000,843.000000,829.000000,836.200012,836.200012,590080
2017-07-05,834.900024,854.950012,830.849976,846.049988,846.049988,795100
2017-07-06,847.549988,909.000000,847.549988,880.299988,880.299988,3412326
2017-07-07,882.799988,910.000000,882.000000,895.450012,895.450012,2129887
2017-07-10,901.049988,944.000000,901.049988,934.599976,934.599976,645059
2017-07-11,946.000000,954.900024,907.500000,913.950012,913.950012,1185183
2017-07-12,914.000000,934.400024,905.000000,910.299988,910.299988,1206562
2017-07-13,915.000000,933.700012,910.250000,915.150024,915.150024,1139296
2017-07-14,920.000000,921.900024,872.500000,891.349976,891.349976,1325017
